Date_Run,Data_ID,Dataset_URL,Location
2021-10-13 09:03:46,cbfs.27.9,https://mn-orc-1.dataone.org/knb/d1/mn/v2/object/cbfs.27.9,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Lake_Locations
2021-10-13 09:03:46,cbfs.27.9,https://mn-ucsb-1.dataone.org/knb/d1/mn/v2/object/cbfs.27.9,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Lake_Locations
2021-10-13 09:03:46,cbfs.27.9,https://knb.ecoinformatics.org/knb/d1/mn/v2/object/cbfs.27.9,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Lake_Locations
2021-10-13 09:04:19,cbfs.140.13,https://knb.ecoinformatics.org/knb/d1/mn/v2/object/cbfs.140.13,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Benthos_Sp
2021-10-13 09:04:19,cbfs.140.13,https://mn-unm-1.dataone.org/knb/d1/mn/v2/object/cbfs.140.13,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Benthos_Sp
2021-10-13 09:04:19,cbfs.140.13,https://mn-ucsb-1.dataone.org/knb/d1/mn/v2/object/cbfs.140.13,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Oneida_Benthos_Sp
2021-10-13 09:04:54,https://pasta.lternet.edu/package/data/eml/knb-lter-ntl/395/1/2fa4c5e6a54b0a5d9f22b3c92c1c3305,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F395%2F1%2F2fa4c5e6a54b0a5d9f22b3c92c1c3305,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Zebra_mussel_biometrics
2021-10-18 11:32:47,https://pasta.lternet.edu/package/data/eml/knb-lter-ntl/394/1/2952d4a7dff04b2785604fc6b3344f3b,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F394%2F1%2F2952d4a7dff04b2785604fc6b3344f3b,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/NonZebra_Mendota
2021-10-18 11:34:21,https://pasta.lternet.edu/package/data/eml/knb-lter-ntl/393/1/0c5ab353b07b41253740ab3126350892,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F393%2F1%2F0c5ab353b07b41253740ab3126350892,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Zebra_Mendota
2021-10-18 11:36:09,https://pasta.lternet.edu/package/data/eml/knb-lter-ntl/129/27/cba9ed12834b8f315d6b10675bb60c5a,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F129%2F27%2Fcba9ed12834b8f315d6b10675bb60c5a,/Users/palomacartwright/Documents/UCSB_Fall_2021/EDS213/EDS213_SanClemmies/data/Mendota_Water
